;;;;;Opciones;;;;;;;;;;;Opciones;;;
Tienes un panel solar actualmente;;;;;No;;Sí;;;Aproximadamente cuanto porciento del gasto luz ahorra;;;;;;50%;75%;100%;no sé
Que uso le darías al panel solar;;;;;Reducir el costo de la luz;Vender el excedente de energía;Independencia en cortes de luz;Independencia energética de la empresas;;;;;;;;;;;
Qué porcentaje de luz te gustaría ahorrar?;;;;;50%;75%;100%;;;;;;;;;;;;
En que comuna vives;;;;;libre;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
pregruntas borradas;;;;;;;;;;;;;;;;;;;
si quieres usarlo para cargar auto o calentar piscina;;;;;;;;resulto mucho trabajo y decidimos botarlo;;;;;;;;;;;
cuanto espacio tienes disponible;;;;;Poco ();Medio();Mucho();es un calculo más díficil de calcular que lo esperado;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Cuanto dinero estas dispuesto a gastar;;;;;;;;Invertir en paneles solares es caro por eso decir el precio sin justificarlo puede ahuyentar  a los posibles compradores;;;;;;;;;;;
